"sum1","sum2","date","customer_id"
"2.99","2.99","2020-01-25",1
"4.99","7.98","2020-01-25",6
"6.98","14.96","2020-01-25",7
"6.98","14.96","2020-01-25",7
"7.98","22.94","2020-01-25",18
"7.98","22.94","2020-01-25",18
"10.98","33.92","2020-01-25",19
"10.98","33.92","2020-01-25",19
"7.99","41.91","2020-01-25",25
"3.99","45.90","2020-01-25",35
"0.99","46.89","2020-01-25",37
"5.98","52.87","2020-01-25",44
"5.98","52.87","2020-01-25",44
"0.99","53.86","2020-01-25",48
"1.99","55.85","2020-01-25",49
"4.99","60.84","2020-01-25",51
"3.99","64.83","2020-01-25",53
"2.99","67.82","2020-01-25",73
"1.99","69.81","2020-01-25",86
"2.99","72.80","2020-01-25",88
"2.99","75.79","2020-01-25",93
"0.99","76.78","2020-01-25",100
"4.99","81.77","2020-01-25",108
"0.99","82.76","2020-01-25",119
"7.99","90.75","2020-01-25",120
"4.99","95.74","2020-01-25",126
"2.99","98.73","2020-01-25",130
"7.98","106.71","2020-01-25",131
"7.98","106.71","2020-01-25",131
"5.99","112.70","2020-01-25",135
"8.99","121.69","2020-01-25",142
"5.99","127.68","2020-01-25",174
"2.99","130.67","2020-01-25",185
"11.99","142.66","2020-01-25",196
"2.99","145.65","2020-01-25",197
"1.98","147.63","2020-01-25",207
"1.98","147.63","2020-01-25",207
"4.99","152.62","2020-01-25",208
"6.99","159.61","2020-01-25",222
"4.99","164.60","2020-01-25",227
"0.99","165.59","2020-01-25",230
"4.99","170.58","2020-01-25",232
"4.99","175.57","2020-01-25",239
"2.99","178.56","2020-01-25",242
"4.99","183.55","2020-01-25",245
"5.99","189.54","2020-01-25",250
"4.99","194.53","2020-01-25",256
"4.99","199.52","2020-01-25",261
"4.99","204.51","2020-01-25",263
"0.99","205.50","2020-01-25",265
"1.99","207.49","2020-01-25",266
"6.99","214.48","2020-01-25",267
"2.98","217.46","2020-01-25",269
"2.98","217.46","2020-01-25",269
"0.99","218.45","2020-01-25",272
"3.99","222.44","2020-01-25",273
"1.99","224.43","2020-01-25",282
"6.99","231.42","2020-01-25",286
"3.99","235.41","2020-01-25",288
"4.99","240.40","2020-01-25",291
"4.99","245.39","2020-01-25",301
"10.98","256.37","2020-01-25",302
"10.98","256.37","2020-01-25",302
"2.99","259.36","2020-01-25",305
"0.99","260.35","2020-01-25",310
"5.99","266.34","2020-01-25",314
"4.99","271.33","2020-01-25",316
"6.99","278.32","2020-01-25",317
"9.99","288.31","2020-01-25",319
"4.99","293.30","2020-01-25",323
"0.99","294.29","2020-01-25",331
"4.99","299.28","2020-01-25",333
"6.99","306.27","2020-01-25",334
"3.99","310.26","2020-01-25",343
"4.99","315.25","2020-01-25",346
"4.99","320.24","2020-01-25",350
"5.99","326.23","2020-01-25",365
"5.99","332.22","2020-01-25",368
"4.99","337.21","2020-01-25",369
"3.99","341.20","2020-01-25",371
"0.99","342.19","2020-01-25",383
"4.99","347.18","2020-01-25",384
"4.99","352.17","2020-01-25",388
"4.99","357.16","2020-01-25",391
"5.99","363.15","2020-01-25",399
"3.99","367.14","2020-01-25",400
"2.99","370.13","2020-01-25",405
"9.98","380.11","2020-01-25",408
"9.98","380.11","2020-01-25",408
"4.99","385.10","2020-01-25",413
"4.99","390.09","2020-01-25",414
"2.99","393.08","2020-01-25",419
"6.99","400.07","2020-01-25",427
"2.99","403.06","2020-01-25",430
"7.99","411.05","2020-01-25",436
"4.99","416.04","2020-01-25",438
"0.99","417.03","2020-01-25",446
"0.99","418.02","2020-01-25",451
"0.99","419.01","2020-01-25",455
"4.99","424.00","2020-01-25",456
"2.99","426.99","2020-01-25",459
"6.99","433.98","2020-01-25",468
"2.99","436.97","2020-01-25",470
"4.99","441.96","2020-01-25",484
"2.99","444.95","2020-01-25",492
"2.99","447.94","2020-01-25",498
"2.99","450.93","2020-01-25",499
"8.99","459.92","2020-01-25",500
"1.99","461.91","2020-01-25",503
"3.99","465.90","2020-01-25",506
"0.99","466.89","2020-01-25",507
"4.99","471.88","2020-01-25",509
"8.99","480.87","2020-01-25",510
"2.99","483.86","2020-01-25",511
"4.99","488.85","2020-01-25",523
"0.99","489.84","2020-01-25",524
"2.99","492.83","2020-01-25",532
"0.99","493.82","2020-01-25",535
"0.99","494.81","2020-01-25",549
"4.99","499.80","2020-01-25",569
"2.99","502.79","2020-01-25",575
"2.99","505.78","2020-01-25",597
"0.99","506.77","2020-01-26",14
"2.99","509.76","2020-01-26",17
"6.99","516.75","2020-01-26",19
"2.99","519.74","2020-01-26",20
"3.99","523.73","2020-01-26",21
"8.99","532.72","2020-01-26",23
"1.99","534.71","2020-01-26",29
"2.99","537.70","2020-01-26",33
"4.99","542.69","2020-01-26",40
"4.99","547.68","2020-01-26",43
"2.99","550.67","2020-01-26",45
"8.98","559.65","2020-01-26",47
"8.98","559.65","2020-01-26",47
"3.99","563.64","2020-01-26",49
